"","YEAR","STATE","REGION","state_name","Population","JURTOT","PVIN","PVOTH","PVINCL","LF","LFINCL","LFCROWD","LFCRINC","FED","OTHST","FACINCL","FACROWD","gender"
"205",1981,"TN",3,"Tennessee",4646043,7502,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,"M"
"206",1981,"TX",3,"Texas",15331410,30050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M"
"207",1981,"UT",4,"Utah",1558316,1099,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,"M"
"208",1981,"VT",1,"Vermont",519107,519,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"209",1981,"VA",3,"Virginia",5492773,9040,NA,NA,NA,NA,NA,461,NA,NA,NA,NA,NA,"M"
"210",1981,"WA",4,"Washington",4276545,5124,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,"M"
"211",1981,"WV",3,"West Virginia",1949606,1528,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"212",1981,"WI",2,"Wisconsin",4728876,4216,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"213",1981,"WY",4,"Wyoming",506408,532,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"214",1981,"ST",7,"State prison total",NA,327819,NA,NA,NA,NA,NA,6693,NA,NA,NA,NA,0,"M"
"215",1981,"US",5,"US prison total (state+federal)",NA,354393,NA,NA,NA,NA,NA,6693,NA,NA,NA,NA,0,"M"
"216",1981,"FE",6,"Federal BOP",NA,26574,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"217",1982,"AL",3,"Alabama",3934103,8757,NA,NA,NA,NA,NA,1084,NA,NA,NA,NA,NA,"M"
"218",1982,"AK",4,"Alaska",488417,1276,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"219",1982,"AZ",4,"Arizona",2968928,5788,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
