"","YEAR","STATEID","STATE","REGION","state_name","Population","WHITEM","WHITEF","BLACKM","BLACKF","HISPM","HISPF","AIANM","AIANF","ASIANM","ASIANF","NHPIM","NHPIF","APIM","APIF","TWORACEM","TWORACEF","ADDRACEM","ADDRACEF","UNKRACEM","UNKRACEF","TOTRACEM","TOTRACEF","NOTHISPM","NOTHISPF","UNKHISPM","UNKHISPF","TOTHCATM","TOTHCATF"
"93",1979,42,"PA",1,"Pennsylvania",11887975,3460,121,4151,141,NA,NA,0,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,0,0,7615,264,NA,NA,7615,264,NA,NA
"94",1979,44,"RI",1,"Rhode Island",950382,536,10,192,7,22,1,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,728,17,706,16,0,0,NA,NA
"95",1979,45,"SC",3,"South Carolina",3090267,3154,138,4166,178,NA,NA,7,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,7327,316,NA,NA,7327,316,NA,NA
"96",1979,46,"SD",2,"South Dakota",688335,406,19,12,0,5,0,120,5,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,538,24,533,24,0,0,NA,NA
"97",1979,47,"TN",3,"Tennessee",4560473,3358,145,2988,138,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,6346,283,NA,NA,6346,283,NA,NA
"98",1979,48,"TX",3,"Texas",13888371,14526,580,10829,587,4564,210,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,25355,1167,20791,957,0,0,NA,NA
"99",1979,49,"UT",4,"Utah",1420238,829,28,80,2,135,4,11,3,NA,NA,NA,NA,6,1,NA,NA,NA,NA,0,0,926,34,791,30,0,0,NA,NA
"100",1979,50,"VT",1,"Vermont",505372,415,11,4,0,0,0,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,420,11,420,11,0,0,NA,NA
"101",1979,51,"VA",3,"Virginia",5307945,3332,98,4775,202,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,41,1,8148,301,NA,NA,8148,301,NA,NA
"102",1979,53,"WA",4,"Washington",4017632,3227,130,848,70,192,8,167,10,NA,NA,NA,NA,39,2,NA,NA,NA,NA,16,3,4297,215,4105,207,0,0,NA,NA
"103",1979,54,"WV",3,"West Virginia",1942146,990,21,228,11,0,0,0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,1218,33,1218,33,0,0,NA,NA
"104",1979,55,"WI",2,"Wisconsin",4682811,1923,62,1274,72,89,2,100,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,3297,137,3208,135,0,0,NA,NA
"105",1979,56,"WY",4,"Wyoming",454378,386,25,16,1,56,2,44,4,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,447,30,391,28,0,0,NA,NA
"106",1979,60,"ST",7,"State prison total",NA,141105,5151,130011,5829,18727,699,2295,156,NA,NA,NA,NA,645,25,NA,NA,0,0,2189,229,276245,11390,165900,6751,91618,3941,NA,NA
"107",1979,70,"US",5,"US prison total (state+federal)",NA,155803,5839,138776,6607,22329,864,2751,177,NA,NA,NA,NA,717,32,NA,NA,0,0,3033,271,301080,12926,186313,8083,92438,3980,NA,NA
"108",1979,99,"FE",6,"Federal BOP",NA,14698,688,8765,778,3602,165,456,21,NA,NA,NA,NA,72,7,NA,NA,NA,NA,844,42,24835,1536,20413,1332,820,39,NA,NA
"109",1980,1,"AL",3,"Alabama",3918531,2197,89,3511,164,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,5708,253,5708,253,0,0,NA,NA
"110",1980,2,"AK",4,"Alaska",418488,426,13,89,5,NA,NA,258,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,28,0,801,21,NA,NA,801,21,NA,NA
"111",1980,4,"AZ",4,"Arizona",2810127,3143,175,846,36,1029,61,144,5,NA,NA,NA,NA,2,3,NA,NA,NA,NA,18,0,4153,219,3124,158,0,0,NA,NA
"112",1980,5,"AR",3,"Arkansas",2293195,1240,43,1579,63,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2819,106,2819,106,0,0,NA,NA
"113",1980,6,"CA",4,"California",24285937,14748,826,8017,445,5687,244,220,34,NA,NA,NA,NA,182,7,NA,NA,NA,NA,86,4,23253,1316,17566,1072,0,0,NA,NA
"114",1980,8,"CO",4,"Colorado",2977895,2092,52,598,19,761,15,18,2,NA,NA,NA,NA,10,1,NA,NA,NA,NA,0,0,2718,74,1957,59,0,0,NA,NA
"115",1980,9,"CT",1,"Connecticut",3128839,2436,88,1663,118,540,9,3,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,4102,206,3562,197,0,0,NA,NA
