"","YEAR","STATEID","STATE","REGION","state_name","Population","ADCRNEWM","ADCRNEWF","ADCRNOM","ADCRNOF","ADTRANSM","ADTRANSF","ADAWOLM","ADAWOLF","ADESCAPM","ADESCAPF","ADAWESM","ADAWESF","ADRETM","ADRETF","ADOTHM","ADOTHF","ADTOTM","ADTOTF"
"169",1981,9,"CT",1,"Connecticut",3139012,719,15,151,5,66,8,NA,NA,NA,NA,47,18,6,0,9,1,2545,126
"170",1981,10,"DE",3,"Delaware",599136,0,0,0,0,0,0,NA,NA,NA,NA,48,1,0,0,95,3,687,48
"171",1981,11,"DC",3,"District of Columbia",634171,58,0,7,0,719,56,NA,NA,NA,NA,208,9,0,0,0,0,2270,151
"172",1981,12,"FL",3,"Florida",10471407,89,4,128,3,17,0,NA,NA,NA,NA,692,6,543,70,206,9,12909,670
"173",1981,13,"GA",3,"Georgia",5649793,0,0,0,0,0,0,NA,NA,NA,NA,336,41,0,0,19,2,7312,514
"174",1981,15,"HI",4,"Hawaii",993802,0,0,16,2,0,0,NA,NA,NA,NA,6,0,0,0,0,0,235,8
"175",1981,16,"ID",4,"Idaho",973729,28,6,30,0,0,0,NA,NA,NA,NA,13,0,2,0,8,0,717,38
"176",1981,17,"IL",2,"Illinois",11423414,31,24,3542,64,2,0,NA,NA,NA,NA,98,3,4,0,906,10,11527,460
"177",1981,18,"IN",2,"Indiana",5467927,216,0,0,0,0,0,NA,NA,NA,NA,72,1,0,0,0,0,4155,229
"178",1981,19,"IA",2,"Iowa",2888190,23,0,34,1,0,0,NA,NA,NA,NA,169,17,41,0,140,1,1634,119
"179",1981,20,"KS",2,"Kansas",2401211,69,11,109,21,0,0,NA,NA,NA,NA,53,0,0,0,0,0,1745,131
"180",1981,21,"KY",3,"Kentucky",3683437,29,0,30,1,0,0,NA,NA,NA,NA,130,0,21,1,0,0,3223,143
"181",1981,22,"LA",3,"Louisiana",4352610,0,0,0,0,0,1,NA,NA,NA,NA,68,2,0,0,0,0,2794,163
"182",1981,23,"ME",1,"Maine",1136684,1,0,0,0,76,1,NA,NA,NA,NA,4,0,6,0,0,0,516,9
"183",1981,24,"MD",3,"Maryland",4282917,0,0,0,0,272,7,NA,NA,NA,NA,476,19,0,0,16,0,5635,328
"184",1981,25,"MA",1,"Massachusetts",5771226,0,0,0,0,109,17,NA,NA,NA,NA,196,12,0,0,0,0,1957,222
"185",1981,26,"MI",2,"Michigan",9115202,0,0,0,0,118,8,NA,NA,NA,NA,1393,170,0,0,0,0,6542,488
